"title","price","product","brand","suburb"
"176.9: Shell Reddy Express Langford",176.9,"Unleaded Petrol","Reddy Express","Langford"
"176.9: Shell Reddy Express Kewdale",176.9,"Unleaded Petrol","Reddy Express","Kewdale"
"176.9: Shell Reddy Express Lakelands",176.9,"Unleaded Petrol","Reddy Express","Lakelands"
"176.9: Shell Reddy Express Mandurah",176.9,"Unleaded Petrol","Reddy Express","Barragup"
"176.9: Shell Reddy Express Halls Head",176.9,"Unleaded Petrol","Reddy Express","Halls Head"
"176.9: Shell Reddy Express Warwick",176.9,"Unleaded Petrol","Reddy Express","Warwick"
"176.9: Shell Reddy Express Duncraig",176.9,"Unleaded Petrol","Reddy Express","Duncraig"
"176.9: Shell Reddy Express Girrawheen",176.9,"Unleaded Petrol","Reddy Express","Girrawheen"
"176.9: Shell Reddy Express Malaga",176.9,"Unleaded Petrol","Reddy Express","Malaga"
"176.9: Shell Reddy Express Middle Swan",176.9,"Unleaded Petrol","Reddy Express","Middle Swan"
"176.9: Shell Reddy Express Wembley",176.9,"Unleaded Petrol","Reddy Express","Wembley"
"176.9: Shell Reddy Express Cloverdale",176.9,"Unleaded Petrol","Reddy Express","Cloverdale"
"176.9: Shell Reddy Express Maddington",176.9,"Unleaded Petrol","Reddy Express","Maddington"
"176.9: Shell Reddy Express Willetton",176.9,"Unleaded Petrol","Reddy Express","Willetton"
"176.9: Shell Reddy Express Forrestfield",176.9,"Unleaded Petrol","Reddy Express","Forrestfield"
"176.9: Shell Reddy Express Fremantle",176.9,"Unleaded Petrol","Reddy Express","Fremantle"
"176.9: Shell Reddy Express Perth",176.9,"Unleaded Petrol","Reddy Express","Perth"
"176.9: Shell Reddy Express Brentwood",176.9,"Unleaded Petrol","Reddy Express","Brentwood"
"176.9: Shell Reddy Express Bicton",176.9,"Unleaded Petrol","Reddy Express","Bicton"
"176.9: Shell Reddy Express Northam",176.9,"Unleaded Petrol","Reddy Express","Northam"
"176.9: Caltex Chadwick OPT",176.9,"Unleaded Petrol","Caltex","Chadwick"
"176.9: Shell Reddy Express Ocean Reef",176.9,"Unleaded Petrol","Reddy Express","Ocean Reef"
"176.9: Shell Reddy Express Edgewater",176.9,"Unleaded Petrol","Reddy Express","Edgewater"
"176.9: Shell Reddy Express Bayswater",176.9,"Unleaded Petrol","Reddy Express","Bayswater"
"176.9: Shell Reddy Express Mount Pleasant",176.9,"Unleaded Petrol","Reddy Express","Mount Pleasant"
"176.9: Shell Reddy Express Bibra Lake",176.9,"Unleaded Petrol","Reddy Express","Bibra Lake"
"176.9: Shell Reddy Express Canning Vale",176.9,"Unleaded Petrol","Reddy Express","Canning Vale"
"176.9: Shell Reddy Express Mount Lawley",176.9,"Unleaded Petrol","Reddy Express","North Perth"
"176.9: Shell Reddy Express Clarkson",176.9,"Unleaded Petrol","Reddy Express","Clarkson"
"176.9: Shell Reddy Express Brookdale",176.9,"Unleaded Petrol","Reddy Express","Armadale"
"176.9: Shell Reddy Express Armadale",176.9,"Unleaded Petrol","Reddy Express","Armadale"
"176.9: Shell Reddy Express Southern River",176.9,"Unleaded Petrol","Reddy Express","Southern River"
"176.9: Shell Reddy Express Karawara",176.9,"Unleaded Petrol","Reddy Express","Karawara"
"176.9: Shell Reddy Express Mosman Park",176.9,"Unleaded Petrol","Reddy Express","Mosman Park"
"176.9: Shell Reddy Express Leeming",176.9,"Unleaded Petrol","Reddy Express","Leeming"
"176.9: Shell Reddy Express South Perth",176.9,"Unleaded Petrol","Reddy Express","South Perth"
"176.9: Shell Reddy Express Westfield",176.9,"Unleaded Petrol","Reddy Express","Seville Grove"
"176.9: Shell Reddy Express Kwinana Beach",176.9,"Unleaded Petrol","Reddy Express","Kwinana Beach"
"176.9: Shell Reddy Express Myaree",176.9,"Unleaded Petrol","Reddy Express","Myaree"
"176.9: Shell Reddy Express Waikiki",176.9,"Unleaded Petrol","Reddy Express","Waikiki"
"176.9: Shell Reddy Express Bull Creek",176.9,"Unleaded Petrol","Reddy Express","Bull Creek"
"176.9: Shell Reddy Express Casuarina",176.9,"Unleaded Petrol","Reddy Express","Bertram"
"176.9: Shell Reddy Express Bentley",176.9,"Unleaded Petrol","Reddy Express","Bentley"
"176.9: Shell Reddy Express Beeliar",176.9,"Unleaded Petrol","Reddy Express","Beeliar"
"176.9: OMG Caltex Ocean Reef",176.9,"Unleaded Petrol","OMG Caltex","Ocean Reef"
"177.0: Dardanup Garage & Service Station",177,"Unleaded Petrol","Independent","Dardanup"
"177.0: FDWA Cunderdin",177,"Unleaded Petrol","Independent","Cunderdin"
"177.5: Better Choice Bellevue",177.5,"Unleaded Petrol","Better Choice","Bellevue"
"177.7: Vibe Toodyay Rd",177.7,"Unleaded Petrol","Vibe","Gidgegannup"
"177.8: Petro Fuels Mount Barker",177.8,"Unleaded Petrol","BP","Mount Barker"
"177.9: BP 2go Australind",177.9,"Unleaded Petrol","BP","Australind"
"177.9: BP Williams Roadhouse",177.9,"Unleaded Petrol","BP","Williams"
"177.9: Ampol Foodary Cockburn Central",177.9,"Unleaded Petrol","Ampol","Jandakot"
"177.9: Liberty Kalgoorlie",177.9,"Unleaded Petrol","Liberty","Kalgoorlie"
"177.9: Ampol Foodary Malaga",177.9,"Unleaded Petrol","Ampol","Malaga"
"177.9: Ampol Foodary Karrinyup",177.9,"Unleaded Petrol","Ampol","Gwelup"
"177.9: Ampol Foodary Glendalough",177.9,"Unleaded Petrol","Ampol","Glendalough"
"177.9: Ampol Foodary North Wanneroo",177.9,"Unleaded Petrol","Ampol","Nowergup"
"177.9: Ampol Foodary Joondalup",177.9,"Unleaded Petrol","Ampol","Joondalup"
"177.9: Ampol Foodary Falcon (Miami Beach)",177.9,"Unleaded Petrol","Ampol","Falcon"
"177.9: Ampol Foodary Kingsley",177.9,"Unleaded Petrol","Ampol","Kingsley"
"177.9: Ampol Foodary Kewdale",177.9,"Unleaded Petrol","Ampol","Kewdale"
"177.9: Ampol Foodary Gosnells",177.9,"Unleaded Petrol","Ampol","Gosnells"
"177.9: Ampol Foodary Rivervale",177.9,"Unleaded Petrol","Ampol","Rivervale"
"177.9: Ampol Foodary Cannington",177.9,"Unleaded Petrol","Ampol","Cannington"
"177.9: Ampol Foodary Eaton",177.9,"Unleaded Petrol","Ampol","Eaton"
"177.9: Ampol Foodary Applecross",177.9,"Unleaded Petrol","Ampol","Applecross"
"177.9: Ampol Foodary Murdoch",177.9,"Unleaded Petrol","Ampol","Murdoch"
"177.9: Ampol Foodary Rockingham",177.9,"Unleaded Petrol","Ampol","Rockingham"
"177.9: Ampol Foodary O'Connor",177.9,"Unleaded Petrol","Ampol","O'connor"
"177.9: EG Ampol Currambine Marketplace",177.9,"Unleaded Petrol","EG Ampol","Currambine"
"177.9: EG Ampol Eaton",177.9,"Unleaded Petrol","EG Ampol","Eaton"
"177.9: 7-Eleven Eaton",177.9,"Unleaded Petrol","7-Eleven","Eaton"
"177.9: 7-Eleven Dunsborough",177.9,"Unleaded Petrol","7-Eleven","Dunsborough"
"177.9: Caltex Castletown",177.9,"Unleaded Petrol","Caltex","Castletown"
"177.9: Caltex Manjimup Roadhouse",177.9,"Unleaded Petrol","Caltex","Manjimup"
"177.9: Metro Wanneroo",177.9,"Unleaded Petrol","Metro Petroleum","Wanneroo"
"177.9: Shell Reddy Express Dunsborough",177.9,"Unleaded Petrol","Reddy Express","Dunsborough"
"177.9: Herne Hill General Store",177.9,"Unleaded Petrol","Vibe","Herne Hill"
"178.0: Walkaway General Store",178,"Unleaded Petrol","Independent","Walkaway"
"178.5: United Denmark",178.5,"Unleaded Petrol","United","Denmark"
"178.5: Better Choice Karridale Roadhouse",178.5,"Unleaded Petrol","Better Choice","Karridale"
"178.7: Vibe Bridgetown",178.7,"Unleaded Petrol","Vibe","Bridgetown"
"178.7: Greenbushes Roadhouse",178.7,"Unleaded Petrol","Phoenix","Greenbushes"
"178.9: Castletown Service Station",178.9,"Unleaded Petrol","BP","Castletown"
"178.9: BP Narrogin",178.9,"Unleaded Petrol","BP","Narrogin"
"178.9: BP Roadhouse Bridgetown",178.9,"Unleaded Petrol","BP","Bridgetown"
"178.9: BP Manjimup",178.9,"Unleaded Petrol","BP","Manjimup"
"178.9: Harbour Rd Truckstop",178.9,"Unleaded Petrol","BP","Chadwick"
"178.9: BP Denmark",178.9,"Unleaded Petrol","BP","Denmark"
"178.9: Ampol Foodary Esperance",178.9,"Unleaded Petrol","Ampol","Esperance"
"178.9: Caltex Lakes Road Nambeelup",178.9,"Unleaded Petrol","Caltex","Stake Hill"
"178.9: NightOwl BP Armadale",178.9,"Unleaded Petrol","BP","Armadale"
"178.9: Atlas Fuel Narrogin",178.9,"Unleaded Petrol","Atlas","Narrogin"
"178.9: Astron Boulder Kalgoorlie",178.9,"Unleaded Petrol","Astron","Boulder"
"179.0: BP Jurien Bay",179,"Unleaded Petrol","BP","Jurien Bay"
"179.3: Route 94 Bakers Hill",179.3,"Unleaded Petrol","United","Bakers Hill"
"179.5: NightOwl Shell Redcliffe",179.5,"Unleaded Petrol","Shell","Redcliffe"
"179.5: Glen Forrest Fuel",179.5,"Unleaded Petrol","Independent","Glen Forrest"
"179.5: NightOwl Shell Bellevue",179.5,"Unleaded Petrol","Shell","Bellevue"
"179.7: Gull Collie",179.7,"Unleaded Petrol","Gull","Collie"
"179.7: Vibe Mandurah",179.7,"Unleaded Petrol","Vibe","Mandurah"
"179.7: Petro Fuels Cataby",179.7,"Unleaded Petrol","Ampol","Cataby"
"179.7: Dwellingup BP",179.7,"Unleaded Petrol","BP","Dwellingup"
"179.8: Petro Fuels Denmark",179.8,"Unleaded Petrol","Petro Fuels","Denmark"
"179.8: Petro Fuels Shoalwater",179.8,"Unleaded Petrol","Caltex","Shoalwater"
"179.9: BP Balcatta",179.9,"Unleaded Petrol","BP","Balcatta"
"179.9: BP Baskerville",179.9,"Unleaded Petrol","BP","Baskerville"
"179.9: BP Dog Swamp",179.9,"Unleaded Petrol","BP","Yokine"
"179.9: BP Waikiki",179.9,"Unleaded Petrol","BP","Safety Bay"
"179.9: BP Morley",179.9,"Unleaded Petrol","BP","Morley"
"179.9: Dunning's Northam",179.9,"Unleaded Petrol","Shell","Northam"
"179.9: BP Beeliar",179.9,"Unleaded Petrol","BP","Cockburn Central"
"179.9: BP Dunsborough",179.9,"Unleaded Petrol","BP","Dunsborough"
"179.9: BP Cunderdin Roadhouse",179.9,"Unleaded Petrol","BP","Cunderdin"
"179.9: Balingup Liquor & General Store",179.9,"Unleaded Petrol","Independent","Balingup"
"179.9: BP Moora Depot",179.9,"Unleaded Petrol","BP","Moora"
"179.9: Windmill Roadhouse",179.9,"Unleaded Petrol","Liberty","Regans Ford"
"179.9: United Kellerberrin Truck Stop",179.9,"Unleaded Petrol","United","Kellerberrin"
"179.9: BP Cowaramup",179.9,"Unleaded Petrol","BP","Cowaramup"
"179.9: NightOwl Shell Maddington",179.9,"Unleaded Petrol","Shell","Maddington"
"179.9: Ampol Foodary Lakelands",179.9,"Unleaded Petrol","Ampol","Meadow Springs"
"179.9: Ampol Foodary Forrest Highway North",179.9,"Unleaded Petrol","Ampol","West Pinjarra"
"179.9: Ampol Foodary Forrest Highway South",179.9,"Unleaded Petrol","Ampol","West Pinjarra"
"179.9: Ampol Foodary Mosman Park",179.9,"Unleaded Petrol","Ampol","Mosman Park"
"179.9: Ampol Foodary Greenfields",179.9,"Unleaded Petrol","Ampol","Greenfields"
"179.9: Ampol Foodary North Yunderup",179.9,"Unleaded Petrol","Ampol","Furnissdale"
"179.9: Ampol Kalgoorlie Diesel Stop",179.9,"Unleaded Petrol","Ampol","West Kalgoorlie"
"179.9: Del Park Roadhouse",179.9,"Unleaded Petrol","Ampol","North Dandalup"
"179.9: NightOwl Shell Highgate",179.9,"Unleaded Petrol","Shell","Mount Lawley"
"179.9: Ampol Albany Diesel Stop",179.9,"Unleaded Petrol","Ampol","Willyung"
"179.9: Ampol Narrogin",179.9,"Unleaded Petrol","Ampol","Narrogin"
"179.9: Caltex Murdoch",179.9,"Unleaded Petrol","Caltex","Murdoch"
"179.9: Caltex Baldivis",179.9,"Unleaded Petrol","Caltex","Baldivis"
"179.9: Caltex Dayton",179.9,"Unleaded Petrol","Caltex","Dayton"
"179.9: Waroona Roadhouse",179.9,"Unleaded Petrol","Puma","Waroona"
"179.9: Caltex Busselton",179.9,"Unleaded Petrol","Caltex","Busselton"
"179.9: EG Ampol Ballajura",179.9,"Unleaded Petrol","EG Ampol","Ballajura"
"179.9: Caltex Forrestdale",179.9,"Unleaded Petrol","Caltex","Forrestdale"
"179.9: Caltex Yokine",179.9,"Unleaded Petrol","Caltex","Yokine"
"179.9: EG Ampol Whitfords",179.9,"Unleaded Petrol","EG Ampol","Hillarys"
"179.9: EG Ampol Brooks Garden",179.9,"Unleaded Petrol","EG Ampol","Lange"
"179.9: Caltex Joondalup",179.9,"Unleaded Petrol","Caltex","Joondalup"
"179.9: EG Ampol Geraldton",179.9,"Unleaded Petrol","EG Ampol","Geraldton"
"179.9: Caltex Gwelup",179.9,"Unleaded Petrol","Caltex","Gwelup"
"179.9: Caltex Warnbro",179.9,"Unleaded Petrol","Caltex","Warnbro"
"179.9: Caltex Merriwa",179.9,"Unleaded Petrol","Caltex","Merriwa"
"179.9: Caltex Munster",179.9,"Unleaded Petrol","Caltex","Munster"
"179.9: Caltex Burswood",179.9,"Unleaded Petrol","Caltex","Burswood"
"179.9: Caltex Glenfield",179.9,"Unleaded Petrol","Caltex","Glenfield"
"179.9: Caltex Mount Lawley",179.9,"Unleaded Petrol","Caltex","Mount Lawley"
"179.9: Caltex Madeley",179.9,"Unleaded Petrol","Caltex","Madeley"
"179.9: Caltex Bellevue",179.9,"Unleaded Petrol","Caltex","Bellevue"
"179.9: Caltex Meadow Springs",179.9,"Unleaded Petrol","Caltex","Meadow Springs"
"179.9: Caltex Osborne Park",179.9,"Unleaded Petrol","Caltex","Osborne Park"
"179.9: Caltex Wattle Grove",179.9,"Unleaded Petrol","Caltex","Wattle Grove"
"179.9: Caltex Lynwood",179.9,"Unleaded Petrol","Caltex","Lynwood"
"179.9: Caltex Como",179.9,"Unleaded Petrol","Caltex","Como"
"179.9: Caltex Wangara",179.9,"Unleaded Petrol","Caltex","Wangara"
"179.9: Caltex Tarcoola",179.9,"Unleaded Petrol","Caltex","Tarcoola Beach"
"179.9: Caltex Welshpool",179.9,"Unleaded Petrol","Caltex","Welshpool"
"179.9: Caltex Landsdale",179.9,"Unleaded Petrol","Caltex","Landsdale"
"179.9: Caltex Tammin",179.9,"Unleaded Petrol","Caltex","Tammin"
"179.9: Metro Geraldton",179.9,"Unleaded Petrol","Metro Petroleum","Mahomets Flats"
"179.9: Caltex Glen Forrest",179.9,"Unleaded Petrol","Caltex","Glen Forrest"
"179.9: Caltex Mundaring",179.9,"Unleaded Petrol","Caltex","Mundaring"
"179.9: Caltex Wooroloo",179.9,"Unleaded Petrol","Caltex","Wooroloo"
"179.9: Caltex Barragup",179.9,"Unleaded Petrol","Caltex","Barragup"
"179.9: Caltex Alexander Heights",179.9,"Unleaded Petrol","Caltex","Alexander Heights"
"179.9: Caltex Stratham",179.9,"Unleaded Petrol","Caltex","Stratham"
"179.9: Caltex Mindarie",179.9,"Unleaded Petrol","Caltex","Mindarie"
"179.9: Metro Jurien Bay",179.9,"Unleaded Petrol","Metro Petroleum","Jurien Bay"
"179.9: 7-Eleven Withers",179.9,"Unleaded Petrol","7-Eleven","Withers"
"179.9: Caltex Bedfordale",179.9,"Unleaded Petrol","Caltex","Bedfordale"
"179.9: Shell Reddy Express Bunbury Gateway",179.9,"Unleaded Petrol","Reddy Express","Glen Iris"
"179.9: Shell Reddy Express Busselton",179.9,"Unleaded Petrol","Reddy Express","Busselton"
"179.9: Caltex Mandurah",179.9,"Unleaded Petrol","Caltex","Mandurah"
"179.9: NightOwl BP Mandurah",179.9,"Unleaded Petrol","BP","Mandurah"
"179.9: Shell Reddy Express Bunbury Outbound",179.9,"Unleaded Petrol","Reddy Express","Vittoria"
"179.9: Caltex Pearsall",179.9,"Unleaded Petrol","Caltex","Pearsall"
"179.9: Caltex Moora",179.9,"Unleaded Petrol","Caltex","Moora"
"179.9: Caltex Belmont",179.9,"Unleaded Petrol","Caltex","Belmont"
"179.9: Bodallin Roadhouse",179.9,"Unleaded Petrol","Perrys","Bodallin"
"179.9: OTR Bunbury",179.9,"Unleaded Petrol","Shell","Bunbury"
"179.9: Binningup General Store",179.9,"Unleaded Petrol","Independent","Binningup"
"179.9: BP 2go Bellevue",179.9,"Unleaded Petrol","BP","Bellevue"
"179.9: Metro Wangara",179.9,"Unleaded Petrol","Metro Petroleum","Wangara"
"180.0: Walpole IGA Pioneer Store",180,"Unleaded Petrol","Ampol","Walpole"
"180.9: Crudeli's Auto Repairs",180.9,"Unleaded Petrol","BP","Mullewa"
"180.9: Hills Emporio",180.9,"Unleaded Petrol","Independent","Karragullen"
"180.9: BP Augusta",180.9,"Unleaded Petrol","BP","Augusta"
"181.5: United Hamilton Hill",181.5,"Unleaded Petrol","United","Hamilton Hill"
"181.5: Dunning's Newman",181.5,"Unleaded Petrol","Shell","Newman"
"181.5: CGL Fuel",181.5,"Unleaded Petrol","CGL Fuel","Kununurra"
"181.8: Refuel Australia - DMW Supplies",181.8,"Unleaded Petrol","Ampol","Dongara"
"181.9: BP Roadhouse Dongara",181.9,"Unleaded Petrol","BP","Dongara"
"181.9: BP Newman South",181.9,"Unleaded Petrol","BP","Newman"
"181.9: Smart Mart Newman",181.9,"Unleaded Petrol","Shell","Newman"
"181.9: Ampol Foodary Newman",181.9,"Unleaded Petrol","Ampol","Newman"
"181.9: S24 Harvey",181.9,"Unleaded Petrol","Caltex","Harvey"
"181.9: Kambalda Roadhouse",181.9,"Unleaded Petrol","Liberty","Kambalda West"
"182.9: BP Pemberton Garage & Service Station",182.9,"Unleaded Petrol","BP","Pemberton"
"182.9: Ampol Foodary Kalgoorlie South",182.9,"Unleaded Petrol","Ampol","South Kalgoorlie"
"182.9: BP Walpole",182.9,"Unleaded Petrol","BP","Walpole"
"182.9: Fruit Barn",182.9,"Unleaded Petrol","Liberty","Donnybrook"
"183.5: Better Choice Como",183.5,"Unleaded Petrol","Better Choice","Como"
"183.5: Liberty Karratha",183.5,"Unleaded Petrol","Liberty","Nickol"
"183.9: De Rosa's Highway Motors",183.9,"Unleaded Petrol","Independent","Waroona"
"183.9: BP Kambalda",183.9,"Unleaded Petrol","BP","Kambalda East"
"183.9: Caltex Bunbury South",183.9,"Unleaded Petrol","Caltex","Carey Park"
"183.9: Hillview Roadhouse and Motel",183.9,"Unleaded Petrol","Shell","Kojonup"
"183.9: Northcliffe Newsagent & General Store",183.9,"Unleaded Petrol","Independent","Northcliffe"
"183.9: BP Beldon",183.9,"Unleaded Petrol","BP","Beldon"
"183.9: BP Greenwood",183.9,"Unleaded Petrol","BP","Greenwood"
"183.9: BP Mullaloo",183.9,"Unleaded Petrol","BP","Mullaloo"
"183.9: BP Henley Brook",183.9,"Unleaded Petrol","BP","Henley Brook"
"183.9: BP Mindarie",183.9,"Unleaded Petrol","BP","Mindarie"
"184.7: Gull York Roadhouse",184.7,"Unleaded Petrol","Gull","York"
"184.7: Smiths Shell Service",184.7,"Unleaded Petrol","Shell","York"
"184.9: Shell Gidgegannup",184.9,"Unleaded Petrol","Shell","Gidgegannup"
"184.9: Geographe IGA",184.9,"Unleaded Petrol","Liberty","Geographe"
"184.9: Northcliffe Farm and Trade",184.9,"Unleaded Petrol","Independent","Northcliffe"
"184.9: Caltex Dalwallinu",184.9,"Unleaded Petrol","Caltex","Dalwallinu"
"184.9: Shell Reddy Express Kununurra Roadhouse",184.9,"Unleaded Petrol","Reddy Express","Kununurra"
"185.0: Manypeaks Store",185,"Unleaded Petrol","BP","Manypeaks"
"185.0: Darnell's General Store",185,"Unleaded Petrol","Independent","Rosa Brook"
"185.5: Dunning's Karratha",185.5,"Unleaded Petrol","Liberty","Karratha"
"185.9: Ampol Foodary Kalgoorlie",185.9,"Unleaded Petrol","Ampol","Somerville"
"185.9: Ampol Collie",185.9,"Unleaded Petrol","Ampol","Collie"
"185.9: Shell Reddy Express Boulder",185.9,"Unleaded Petrol","Reddy Express","Boulder"
"185.9: Shell Reddy Express Esperance",185.9,"Unleaded Petrol","Reddy Express","Esperance"
"186.0: Cape Agencies",186,"Unleaded Petrol","Ampol","Wellstead"
"186.7: Elleker General Store",186.7,"Unleaded Petrol","Puma","Elleker"
"187.0: Mundijong Store & Deli",187,"Unleaded Petrol","Independent","Mundijong"
"187.9: BP Karratha Service Station",187.9,"Unleaded Petrol","BP","Karratha"
"187.9: BP Karratha West",187.9,"Unleaded Petrol","BP","Gap Ridge"
"187.9: Ampol Foodary Karratha",187.9,"Unleaded Petrol","Ampol","Nickol"
"187.9: Astron Swanbourne",187.9,"Unleaded Petrol","Astron","Swanbourne"
"188.8: Youngs Siding General Store",188.8,"Unleaded Petrol","BP","Youngs Siding"
"189.4: Yarrumba Service Station",189.4,"Unleaded Petrol","Liberty","Mullewa"
"189.9: BP Golden Gate",189.9,"Unleaded Petrol","BP","Kalgoorlie"
"189.9: BP Kalgoorlie-Boulder Truckstop",189.9,"Unleaded Petrol","BP","Yilkari"
"189.9: Caltex Mt Melville",189.9,"Unleaded Petrol","Caltex","Mount Melville"
"189.9: Caltex Kalgoorlie",189.9,"Unleaded Petrol","Caltex","Kalgoorlie"
"189.9: Caltex Piccadilly",189.9,"Unleaded Petrol","Caltex","Piccadilly"
"189.9: Caltex Myalup",189.9,"Unleaded Petrol","Caltex","Myalup"
"189.9: Caltex Binningup",189.9,"Unleaded Petrol","Caltex","Binningup"
"189.9: S24 Kununurra",189.9,"Unleaded Petrol","Caltex","Kununurra"
"189.9: Caltex Kwinana Truck Stop",189.9,"Unleaded Petrol","Caltex","Kwinana Beach"
"189.9: Caltex Maddington Truck Stop",189.9,"Unleaded Petrol","Caltex","Maddington"
"189.9: Ampol Jurien Bay",189.9,"Unleaded Petrol","Ampol","Jurien Bay"
"189.9: Caltex Edgewater",189.9,"Unleaded Petrol","Caltex","Edgewater"
"190.9: Shell Reddy Express Karratha",190.9,"Unleaded Petrol","Reddy Express","Karratha"
"191.9: Shell Reddy Express Collie",191.9,"Unleaded Petrol","Reddy Express","Collie"
"191.9: Shell Reddy Express Dampier",191.9,"Unleaded Petrol","Reddy Express","Dampier"
"193.8: Refuel Australia - Port Hedland",193.8,"Unleaded Petrol","Ampol","Port Hedland"
"194.3: Cheynes Beach Caravan Park",194.3,"Unleaded Petrol","Independent","Cheynes"
"195.9: Ampol Wedgefield Diesel Stop",195.9,"Unleaded Petrol","Ampol","Wedgefield"
"197.9: BP South Hedland",197.9,"Unleaded Petrol","BP","South Hedland"
"197.9: Ampol Foodary South Hedland",197.9,"Unleaded Petrol","Ampol","South Hedland"
"197.9: Shell Reddy Express Karratha Travel & Truck",197.9,"Unleaded Petrol","Reddy Express","Stove Hill"
"198.0: BP Port Hedland",198,"Unleaded Petrol","BP","Port Hedland"
"198.9: Petro Fuels Munglinup",198.9,"Unleaded Petrol","Petro Fuels","Munglinup"
"199.0: Gracie's General",199,"Unleaded Petrol","Independent","Gracetown"
"199.5: Dunning's Carnarvon",199.5,"Unleaded Petrol","Shell","Morgantown"
"199.5: Dunning's KCD Fuels",199.5,"Unleaded Petrol","Dunning's","Kingsford"
"199.7: Vibe Coolgardie",199.7,"Unleaded Petrol","Vibe","Coolgardie"
"199.9: BP Carnarvon",199.9,"Unleaded Petrol","BP","Brown Range"
"199.9: Ampol Foodary Coolgardie",199.9,"Unleaded Petrol","Ampol","Coolgardie"
"199.9: Ampol Foodary Carnarvon",199.9,"Unleaded Petrol","Ampol","Kingsford"
"199.9: EG Ampol Carnarvon",199.9,"Unleaded Petrol","EG Ampol","Carnarvon"
"199.9: BP Port Hedland Boulevard",199.9,"Unleaded Petrol","BP","Port Hedland"
"199.9: Shell Reddy Express Port Hedland",199.9,"Unleaded Petrol","Reddy Express","Port Hedland"
"201.5: BP Norseman",201.5,"Unleaded Petrol","BP","Norseman"
"201.9: Ampol Foodary Norseman",201.9,"Unleaded Petrol","Ampol","Norseman"
"204.9: GSG WA Pty Ltd",204.9,"Unleaded Petrol","Shell","Ravensthorpe"
"204.9: BP Ravensthorpe",204.9,"Unleaded Petrol","BP","Ravensthorpe"
"205.9: Caltex South Hedland",205.9,"Unleaded Petrol","Caltex","Port Hedland"
"205.9: Shell Reddy Express South Hedland Roadhouse",205.9,"Unleaded Petrol","Reddy Express","Wedgefield"
"209.8: BP Wubin",209.8,"Unleaded Petrol","BP","Wubin"
"209.9: Ningaloo Reef Fuels",209.9,"Unleaded Petrol","Independent","Exmouth"
"216.9: Ampol Foodary Exmouth",216.9,"Unleaded Petrol","Ampol","Exmouth"
"218.8: Exmouth Fuel Supplies",218.8,"Unleaded Petrol","Independent","Exmouth"
"222.5: United Broome",222.5,"Unleaded Petrol","United","Cable Beach"
"222.5: Dunning's Broome",222.5,"Unleaded Petrol","Shell","Broome"
"225.9: BP Broome Central Service Centre",225.9,"Unleaded Petrol","BP","Djugun"
"225.9: Ampol Foodary Broome",225.9,"Unleaded Petrol","Ampol","Bilingurr"
"225.9: EG Ampol Djugun",225.9,"Unleaded Petrol","EG Ampol","Djugun"
"225.9: Shell Reddy Express Broome",225.9,"Unleaded Petrol","Reddy Express","Broome"
"225.9: BP Shinju Broome",225.9,"Unleaded Petrol","BP","Broome"
"227.9: Meekatharra Corner Store",227.9,"Unleaded Petrol","BP","Meekatharra"
"227.9: Shell Reddy Express Meekatharra Roadhouse",227.9,"Unleaded Petrol","Reddy Express","Meekatharra"
"228.9: Meekatharra Caravan Park",228.9,"Unleaded Petrol","Independent","Meekatharra"
"235.5: Derby Fuels",235.5,"Unleaded Petrol","Shell","Derby"
"235.9: BP Derby",235.9,"Unleaded Petrol","BP","Derby"
"242.9: Fitzroy River Lodge",242.9,"Unleaded Petrol","Independent","Fitzroy Crossing"
"245.9: BP Fitzroy Crossing",245.9,"Unleaded Petrol","BP","Fitzroy Crossing"
"245.9: Shell Reddy Express Fitzroy Crossing Roadhouse",245.9,"Unleaded Petrol","Reddy Express","Fitzroy Crossing"
"160.1: Burk Oakford",160.1,"Premium Unleaded","Burk","Oakford"
"164.9: Vibe Baldivis",164.9,"Premium Unleaded","Vibe","Baldivis"
"165.0: Vibe Oakford Truckstop",165,"Premium Unleaded","Vibe","Oakford"
"167.3: Burk Alkimos",167.3,"Premium Unleaded","Burk","Alkimos"
"167.3: Burk Bassendean",167.3,"Premium Unleaded","Burk","Bassendean"
"167.3: Burk Landsdale",167.3,"Premium Unleaded","Burk","Landsdale"
"167.5: Vibe Piara Waters",167.5,"Premium Unleaded","Vibe","Piara Waters"
"168.5: Atlas Fuel Kwinana",168.5,"Premium Unleaded","Atlas","Kwinana Beach"
"169.3: Burk West Swan",169.3,"Premium Unleaded","Burk","West Swan"
"169.3: Burk Malaga",169.3,"Premium Unleaded","Burk","Malaga"
"169.9: Atlas Fuel Forrestdale",169.9,"Premium Unleaded","Atlas","Forrestdale"
"169.9: Atlas Fuel Ascot",169.9,"Premium Unleaded","Atlas","Ascot"
"170.5: Atlas Fuel Forrestfield",170.5,"Premium Unleaded","Atlas","Forrestfield"
"170.7: Vibe Ascot",170.7,"Premium Unleaded","Vibe","Ascot"
"170.9: FastFuel 24/7",170.9,"Premium Unleaded","FastFuel 24/7","Forrestfield"
"170.9: Atlas Fuel Wanneroo",170.9,"Premium Unleaded","Atlas","Wanneroo"
"171.9: Solo Riverton",171.9,"Premium Unleaded","Solo","Riverton"
"171.9: Atlas Fuel Golden Bay",171.9,"Premium Unleaded","Atlas","Golden Bay"
